Dataset,Config,Machine,TrainTime,F1
SMD,JumpStarter,machine-2-7,31.88035249710083,0.9561128476442351
SMD,JumpStarter,machine-2-8,32.216490507125854,0.9999999949378882
SMD,JumpStarter,machine-2-9,39.58529615402222,0.9095384565681837
SMD,JumpStarter,machine-3-1,39.134984731674194,0.8278145646298409
SMD,JumpStarter,machine-3-10,32.64563202857971,0.8749334703216896
SMD,JumpStarter,machine-3-11,39.399271726608276,0.9999999949479166
SMD,JumpStarter,machine-3-2,33.66416597366333,0.0
SMD,JumpStarter,machine-3-3,33.76577591896057,0.9804687449827577
SMD,JumpStarter,machine-3-4,33.153559923172,0.9669603474177163
SMD,JumpStarter,machine-3-5,32.79934000968933,0.9999999949310343
SMD,JumpStarter,machine-3-6,39.85298490524292,0.937991261376511
SMD,JumpStarter,machine-3-7,39.69199466705322,0.8428184232849715
SMD,JumpStarter,machine-3-8,39.52052307128906,0.7079921981498674
SMD,JumpStarter,machine-3-9,40.265950441360474,0.7232876661977857
MSL,JumpStarter,M-5,4.932917356491089,0.9999999949666667
MSL,JumpStarter,M-6,4.378369569778442,0.8551068834253925
MSL,JumpStarter,M-7,4.528223752975464,0.9756097510053541
MSL,JumpStarter,P-10,12.280848979949951,0.9999999949230769
MSL,JumpStarter,P-11,7.139104127883911,0.6522366478225254
MSL,JumpStarter,P-14,12.11764931678772,0.9999999949444445
MSL,JumpStarter,P-15,5.8488991260528564,0.04576658994077573
MSL,JumpStarter,S-2,3.817819595336914,0.999999994
MSL,JumpStarter,T-12,5.514156341552734,0.4371584665133826
MSL,JumpStarter,T-13,5.230983734130859,0.6596306024220105
MSL,JumpStarter,T-4,4.6689817905426025,0.5643153485993699
MSL,JumpStarter,T-5,4.939016819000244,0.9090909038016529
MSL,JumpStarter,T-8,3.2076354026794434,0.5940594008822666
MSL,JumpStarter,T-9,2.883744955062866,0.5992509314396331
SMAP,JumpStarter,E-2,8.077451229095459,0.9721642260339914
SMAP,JumpStarter,E-3,7.831130743026733,0.9999999949968867
SMAP,JumpStarter,E-4,7.826875448226929,0.9999999949964427
SMAP,JumpStarter,E-5,8.877222061157227,0.9999999949687499
SMAP,JumpStarter,E-6,8.984147787094116,0.999999994846154
SMAP,JumpStarter,E-7,7.870087623596191,0.9459459409285975
SMAP,JumpStarter,E-8,8.204802513122559,0.9904458548572965
SMAP,JumpStarter,E-9,7.686201572418213,0.9999999949714284
SMAP,JumpStarter,F-1,8.08486294746399,0.24906600030396603
SMAP,JumpStarter,F-2,8.289853572845459,0.9644371891304201
SMAP,JumpStarter,F-3,7.867412328720093,0.99999999475
SMAP,JumpStarter,G-1,8.094497203826904,0.17870439151963605
SMAP,JumpStarter,G-2,7.6839025020599365,0.03367003333871828
SMAP,JumpStarter,G-3,7.40585732460022,0.06901311182410375
SMAP,JumpStarter,G-4,7.3138203620910645,0.138568128034178
SMAP,JumpStarter,G-6,8.273766994476318,0.3231017743402904
SMAP,JumpStarter,G-7,7.585580110549927,0.6090651511008434
SMAP,JumpStarter,P-1,8.696643352508545,0.9676584684726599
SMAP,JumpStarter,P-2,7.808100938796997,0.9999999949918368
SMAP,JumpStarter,P-3,8.120779514312744,0.9874260304964458
SMAP,JumpStarter,P-4,7.550643444061279,0.7045636463458678
SMAP,JumpStarter,P-7,7.744024991989136,0.9388335654258827
SMAP,JumpStarter,R-1,6.867727756500244,0.021848968785612755
SMAP,JumpStarter,S-1,7.165952444076538,0.9999999949776286
SMAP,JumpStarter,T-1,8.205048561096191,0.9104160290293529
SMAP,JumpStarter,T-2,8.096381187438965,0.9335426428455601
SMAP,JumpStarter,T-3,8.856789350509644,0.32212389109718853
