Dataset,Config,Avg_F1,Avg_Time
MSL,Omni_Causal,0.7923,0.0925
MSL,Omni_Entropy,0.8238,0.1044
MSL,Omni_Entropy_Causal,0.8739,0.1094
MSL,Omni_Periodic,0.8071,0.0943
MSL,TranAD_Scratch,0.8627,0.1229
SMAP,Omni_Causal,0.8615,0.123
SMAP,Omni_Entropy,0.8589,0.1178
SMAP,Omni_Entropy_Causal,0.8676,0.1274
SMAP,Omni_Periodic,0.86,0.1226
SMAP,TranAD_Scratch,0.8853,0.1778
SMD,Omni_Causal,0.8345,0.1228
SMD,Omni_Entropy,0.8328,0.1183
SMD,Omni_Entropy_Causal,0.8196,0.1232
SMD,Omni_Periodic,0.8378,0.11
SMD,TranAD_Scratch,0.8412,1.149
