Dataset,Entity,TrainTime,F1,Retries,Error
SMD,machine-1-1,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
SMD,machine-1-2,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
SMD,machine-1-3,2.8073112964630127,0.9127906926593767,0,
SMD,machine-1-4,3.146324634552002,0.7476635464290914,0,
SMD,machine-1-5,2.6142044067382812,0.0,0,
SMD,machine-1-6,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
SMD,machine-1-7,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
SMD,machine-1-8,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
SMD,machine-2-1,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
SMD,machine-2-2,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
SMD,machine-2-3,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
SMD,machine-2-4,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
SMD,machine-2-5,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
SMD,machine-2-6,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
SMD,machine-2-7,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
SMD,machine-2-8,3.048092842102051,0.9999999949378882,0,
SMD,machine-2-9,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
SMD,machine-3-1,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
SMD,machine-3-10,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
SMD,machine-3-11,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
SMD,machine-3-2,2.5545856952667236,0.0,0,
SMD,machine-3-3,2.8267648220062256,0.9403714514842112,0,
SMD,machine-3-4,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
SMD,machine-3-5,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
SMD,machine-3-6,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
SMD,machine-3-7,4.050902843475342,0.8428184232849715,0,
SMD,machine-3-8,2.9651918411254883,0.5736690006743056,0,
SMD,machine-3-9,0.0,0.0,0,index -1 is out of bounds for axis 0 with size 0
